contactDate,beat,encounterType,reasonForEncounter,resultOfEncounter,search,typeOfSearch,resultOfSearch,race,sex
1/1/15,31X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
1/1/15,31Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
1/1/15,31Y,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
1/1/15,31Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/1/15,31X,Vehicle,Traffic Violation,Citation,Yes,P/C,None,Hispanic,Male
1/1/15,15X,Vehicle,Probable Cause,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Male
1/1/15,15X,Vehicle,Probable Cause,FI Report,No,No,No,White,Female
1/1/15,31Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/1/15,31Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/1/15,31Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/1/15,31Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/1/15,18Y,Vehicle,Reasonable Suspicion,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
1/1/15,18Y,Vehicle,Reasonable Suspicion,Felony Arrest,Yes,P/C,Yes,Afr American,Male
1/1/15,14Y,Vehicle,Traffic Violation,FI Report,No,No,No,White,Female
1/1/15,31X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
1/1/15,31X,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Female
1/1/15,31X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/1/15,02Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/1/15,03X,Pedestrian,Reasonable Suspicion,FI Report,Yes,Weapons,None,Afr American,Male
1/1/15,30X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
1/1/15,03X,Pedestrian,Consensual Encounter,FI Report,Yes,Weapons,None,Afr American,Male
1/1/15,25X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/1/15,30X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/1/15,26Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/1/15,24Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/1/15,22X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
1/1/15,20X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
1/1/15,02X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/1/15,06X,Pedestrian,Consensual Encounter,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Female
1/1/15,24Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/1/15,07X,Pedestrian,Reasonable Suspicion,FI Report,No,No,No,Afr American,Male
1/1/15,28X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
1/2/15,19X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Female
1/2/15,04X,Bicycle,Traffic Violation,Warning,No,No,No,Other,Male
1/2/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
1/2/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
1/2/15,01X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
